Date,AU,GB,CH,JP,EU,US,EM
2009-05-01,0.0141921,0.03,-0.018495926299733494,-0.06410976195374653,-0.05471837169710126,0.0071805,0.09
2009-06-01,0.0141921,0.03,-0.01858025648237574,-0.06418942251967974,-0.054452079355979406,0.0071805,0.09
2009-07-01,0.0118662,0.033,-0.018656892926605523,-0.06425789924199163,-0.05424174555224361,0.02487275,0.09
2009-08-01,0.0118662,0.033,-0.03147586276197685,-0.05255523413839721,-0.04442320923772629,0.02487275,0.09
2009-09-01,0.0118662,0.033,-0.031565031890413195,-0.05261468157783749,-0.04437213068570092,0.02487275,0.09
2009-10-01,0.0205628,0.031,-0.031643292897478734,-0.05266887146193181,-0.04432768722098647,0.024999,0.09
2009-11-01,0.0205628,0.031,-0.024214361893517618,-0.01686927867334112,-0.02228470219504293,0.024999,0.09
2009-12-01,0.0205628,0.031,-0.024269982099762114,-0.016880648676006485,-0.022295540634934524,0.024999,0.09
2010-01-01,0.0291892,0.027,-0.024321063790273774,-0.01689175717719206,-0.02230576715857533,0.0271655,0.11
2010-02-01,0.0291892,0.027,0.0024642770350662203,0.04061767017029313,0.012320886134575973,0.0271655,0.11
2010-03-01,0.0291892,0.027,0.002454929812016026,0.04065340071172772,0.01231991414415959,0.0271655,0.11
2010-04-01,0.0312164,0.015,0.002445788413725381,0.040687876454821234,0.012318954254707205,0.03036225,0.11
2010-05-01,0.0312164,0.015,0.03067279183395819,0.03330411053214253,0.021589106729826436,0.03036225,0.11
2010-06-01,0.0312164,0.015,0.03067773433263488,0.03332360686612929,0.021589760817217352,0.03036225,0.11
2010-07-01,0.0287846,0.015,0.03068259571470453,0.03334262170053232,0.021590406991229678,0.026321,0.11
2010-08-01,0.0287846,0.015,0.03532110903316622,0.05174789565901502,0.02220700684424346,0.026321,0.11
2010-09-01,0.0287846,0.015,0.03532955683896531,0.05180486948807596,0.022207751074575018,0.026321,0.11
2010-10-01,0.0275715,0.006,0.03533783269538065,0.05185910916030492,0.022208486343509734,0.0265055,0.11
2010-11-01,0.0275715,0.006,0.02964466412483905,0.03133357662344805,0.023793263138958062,0.0265055,0.11
2010-12-01,0.0275715,0.006,0.029648459043523045,0.03134767685083674,0.023794286565866234,0.0265055,0.11
2011-01-01,0.032563,0.0,0.029652197825646456,0.031361488810574094,0.023795297380249505,0.033807,0.09
2011-02-01,0.032563,0.0,0.032242812255269225,0.010954049319661614,0.029402710088267652,0.033807,0.09
2011-03-01,0.032563,0.0,0.032248064003379776,0.010954895880267884,0.02940507953238713,0.033807,0.09
2011-04-01,0.0354906,0.0,0.032253229508685845,0.010955733633404586,0.02940741360998078,0.0325925,0.09
2011-05-01,0.0354906,0.0,0.02284961206372041,-0.00842395500325616,0.019912006260872122,0.0325925,0.09
2011-06-01,0.0354906,0.0,0.02285026153580052,-0.008432345337221248,0.0199122672770117,0.0325925,0.09
2011-07-01,0.034197,-0.006,0.02285090369718545,-0.008440603858833667,0.019912525435059024,0.024747,0.09
2011-08-01,0.034197,-0.006,0.019945968838996655,-0.0027292741103584765,0.015771406971136753,0.024747,0.09
2011-09-01,0.034197,-0.006,0.019945688938915872,-0.002733558819453074,0.015770995571024578,0.024747,0.09
2011-10-01,0.0299279,0.0,0.01994541206500258,-0.0027377905853482876,0.015770588590240865,0.02543475,0.09
2011-11-01,0.0299279,0.0,0.00993778588621436,0.0036541091456435064,0.0068894649056782204,0.02543475,0.09
2011-12-01,0.0299279,0.0,0.009933377319287853,0.0036526936142737376,0.00688714338490486,0.02543475,0.09
2012-01-01,0.0162768,0.008,0.00992903112733176,0.003651292601960286,0.006884853630135057,0.025284,0.08
2012-02-01,0.0162768,0.008,0.005213307252932284,0.027191155261690955,-0.0047051093467003376,0.025284,0.08
2012-03-01,0.0162768,0.008,0.005205616881069634,0.027201616129385205,-0.004712671796252594,0.025284,0.08
2012-04-01,0.0120968,0.005,0.005198063037279921,0.027211905168527173,-0.004720055218489248,0.02524925,0.08
2012-05-01,0.0120968,0.005,0.009395414143573722,0.026393970622248315,-0.008099479560947932,0.02524925,0.08
2012-06-01,0.0120968,0.005,0.00939111583166629,0.026403186475490618,-0.008108695449058118,0.02524925,0.08
2012-07-01,0.02004,0.007,0.009386877040006333,0.02641225969972946,-0.008117662731408706,0.01991475,0.08
2012-08-01,0.02004,0.007,0.005286179630308226,5.77032074356098e-05,-0.009641764316911635,0.01991475,0.08
2012-09-01,0.02004,0.007,0.005279195839246629,5.4508274089971735e-05,-0.009651260996136878,0.01991475,0.08
2012-10-01,0.022044,0.018,0.005272329747101394,5.134801028429902e-05,-0.009660492985447055,0.020571,0.08
2012-11-01,0.022044,0.018,0.01672715655882999,0.0007258723918494928,-0.010859289585687111,0.020571,0.08
2012-12-01,0.022044,0.018,0.016726218354151483,0.0007230845509669802,-0.010868786554544096,0.020571,0.08
2013-01-01,0.025025,0.015,0.016725289734423655,0.0007203258991412333,-0.010878014850655548,0.02381475,0.08
2013-02-01,0.025025,0.015,0.015452101722378112,0.0001419381123726085,-0.011841005787615743,0.02381475,0.08
2013-03-01,0.025025,0.015,0.015450787783196985,0.00013898310121569508,-0.011850316638797362,0.02381475,0.08
2013-04-01,0.0239044,0.028,0.015449487414244914,0.00013605906100883514,-0.011859363388187287,0.02329725,0.08
2013-05-01,0.0239044,0.028,0.012009729330558718,0.01768338364259802,-0.0019892287573890733,0.02329725,0.08
2013-06-01,0.0239044,0.028,0.012007171415455813,0.017686998666820275,-0.0019931406025044947,0.02329725,0.08
2013-07-01,0.0216111,0.017,0.012004642686261106,0.01769057523213994,-0.0019969863218448187,0.0252365,0.08
2013-08-01,0.0216111,0.017,0.02101943058758932,0.030529521884592844,0.0022162671371219584,0.0252365,0.08
2013-09-01,0.0216111,0.017,0.0210198261915357,0.030543355927548522,0.002213882332732231,0.0252365,0.08
2013-10-01,0.027451,-0.002,0.02102021795991974,0.030556944230017594,0.002211529678468102,0.025278,0.08
2013-11-01,0.027451,-0.002,0.02056341193943875,0.030132537695422554,0.008488549584096942,0.025278,0.08
2013-12-01,0.027451,-0.002,0.020563666275176768,0.030145159669829932,0.00848758899218574,0.025278,0.08
