DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
30-09-95,0.0336,-0.0186,-0.0011,0.0286,0.0193,0.0099,0.004
31-10-95,-0.0151,-0.0407,-0.0049,0.0417,0.0286,0.0193,-0.001
30-11-95,0.0396,-0.0106,0.0052,-0.0072,0.0109,-0.0057,0.01
31-12-95,0.0104,0.0065,0.0024,0.0248,0.0635,-0.0144,0.0302
31-01-96,0.0226,-0.0264,0.0046,0.0057,0.0028,0.0026,0.023
29-02-96,0.0133,0.0177,-0.0105,0.0057,-0.0548,0.0016,-0.0189
31-03-96,0.0074,0.0156,0.0042,-0.0185,0.0008,0.0144,-0.0095
30-04-96,0.0205,0.047,-0.0397,-0.0094,-0.0484,-0.002,-0.0203
31-05-96,0.0236,0.0323,-0.009,0.0162,-0.0277,0.0003,-0.0033
30-06-96,-0.0113,-0.0367,0.0233,0.0102,0.0552,0.035,0.012
31-07-96,-0.0596,-0.0378,0.0519,-0.0015,0.0315,0.029,0.0268
31-08-96,0.0277,0.0258,-0.0082,-0.0002,-0.025,-0.0038,-0.0247
30-09-96,0.0501,-0.0141,-0.0274,0.0267,-0.057,0.013,-0.0213
31-10-96,0.0087,-0.0379,0.0488,0.0372,0.0135,0.0138,0.0297
30-11-96,0.0625,-0.0382,0.014,-0.0235,-0.0237,0.0206,-0.0069
31-12-96,-0.017,0.0319,0.0128,0.0053,0.015,0.0023,0.0149
31-01-97,0.0497,-0.0182,-0.0144,0.0187,-0.0543,0.0122,-0.0007
28-02-97,-0.0048,-0.0254,0.0561,-0.0218,0.0347,0.0072,0.0347
31-03-97,-0.0502,-0.0041,0.0339,0.0088,0.0579,0.0039,0.0153
30-04-97,0.0404,-0.057,0,0.0483,-0.0147,0.0336,-0.0102
31-05-97,0.0673,0.0468,-0.0411,-0.0519,-0.0288,-0.0104,-0.0276
30-06-97,0.041,0.0117,0.0144,0.0259,0.0093,0.0056,0.0045
